Category Level 1,Category Level 2,Category Level 3,Category Level 4,Barserial,Name,Quantity,Retail,Cost,VAT,Net,Total Margin,Margin %
Cameras & Photography,Digital Cameras,Canon,,BBTX17F04E19E,Canon EOS 1300d with 18-55 mm lens,1,£179.99,£100.00,£13.33,£166.66,£66.66,40.00%
Cameras & Photography,Digital Cameras,Canon,,BBWGQQ0AU9IMI,"Canon EOS 450D 12.2M + 18-55mm, B",1,£129.99,£30.00,£16.66,£113.33,£83.33,73.53%
Cameras & Photography,Digital Cameras,Canon,,BBWGF94BB0FDD,Canon EF 75-300mm f/4-5.6 III Black Lens,1,£89.99,£10.00,£13.33,£76.66,£66.66,86.96%
Cameras & Photography,Digital Cameras,Canon,,BBWG9AC1JCF7G,Canon EOS M,1,£300.00,£150.00,£25.00,£275.00,£125.00,45.45%
Cameras & Photography,Digital Cameras,Canon,,BBTXRUXPJUXP4,Canon EOS 400D + 18-55mm,1,£110.00,£50.00,£10.00,£100.00,£50.00,50.00%
Cameras & Photography,Digital Cameras,Canon,,BBWG67QXJLPBL,Canon Powershot g3 4MP,1,£20.00,£5.00,£2.50,£17.50,£12.50,71.43%
Cameras & Photography,Digital Cameras,Canon,,BBWGU9LNI5S71,Canon EOS 400D EF-S kit,1,£40.00,£15.00,£4.17,£35.83,£20.83,58.14%
Cameras & Photography,Digital Cameras,Canon,,BBWGDKUG1T7PR,panasonic camera and lumix lens,1,£130.00,£70.00,£10.00,£120.00,£50.00,41.67%
Cameras & Photography,Digital Cameras,Canon,,BBWY9JIAUOKIU,Intel Optane SSD 900P boxed,1,£100.00,£40.00,£10.00,£90.00,£50.00,55.56%
Cameras & Photography,Digital Cameras,Fuji Film,Finepix,BBWG462E6789E,Sigma 70mm camera lens,1,£99.99,£50.00,£8.33,£91.66,£41.66,45.45%
Cameras & Photography,Digital Cameras,Fuji Film,Finepix,BBTX532304708,Fujifilm Instax Square SQ1 Instant Camera,1,£79.99,£25.00,£9.16,£70.82,£45.82,64.70%
Cameras & Photography,Digital Cameras,Fuji Film,Finepix,BBTX29BD91423,Finepix Finepix HS20EXR,1,£59.99,£20.00,£6.66,£53.32,£33.32,62.49%
Cameras & Photography,Digital Cameras,Fuji Film,Finepix,BBWGPQRQ3FWGI,Fujifilm 18mm lens,1,£199.99,£130.00,£11.66,£188.33,£58.33,30.97%
Cameras & Photography,Digital Cameras,Kodak,,BBWG1A3A224ED,Dyson,1,£200.00,£100.00,£16.67,£183.33,£83.33,45.45%
Cameras & Photography,Digital Cameras,Kodak,,BBWG3069BEFE5,LG xBoom,1,£84.99,£40.00,£7.50,£77.49,£37.49,48.38%
Cameras & Photography,Digital Cameras,Kodak,,BBWGUKQ6KLIEN,Kodak Pixpro AZ421 16MP 42x,1,£89.99,£40.00,£8.33,£81.66,£41.66,51.02%
Cameras & Photography,Digital Cameras,Leica,,,,,,,,,,
Cameras & Photography,Digital Cameras,Minolta,,,,,,,,,,
Cameras & Photography,Digital Cameras,Nikon,,BBWGL7SJKZCGX,Nikon D3100 14M 18-55mm F/5-5.6G,-1,-£99.99,-£60.00,-£6.66,-£93.32,-£33.32,35.71%
Cameras & Photography,Digital Cameras,Nikon,,BBWG6B43C9472,Nikon 3100,1,£129.99,£60.00,£11.66,£118.33,£58.33,49.29%
Cameras & Photography,Digital Cameras,Nikon,,BBWG1AC180801,Nikon lens 55mm-200mm,1,£74.99,£35.00,£6.66,£68.32,£33.32,48.77%
Cameras & Photography,Digital Cameras,Nikon,,BBWGCB2CEFFE5,Nikon AF-S,1,£49.99,£20.00,£5.00,£44.99,£24.99,55.55%
Cameras & Photography,Digital Cameras,Nikon,,BBWG92UQ7FWE1,Nikon dx 55-200mm,1,£59.99,£30.00,£5.00,£54.99,£24.99,45.45%
Cameras & Photography,Digital Cameras,Nikon,,BBWGTWDLX6JEQ,Nikon D3200 24M + 18-55mm,1,£179.99,£60.00,£20.00,£159.99,£99.99,62.50%
Cameras & Photography,Digital Cameras,Nikon,,BBTXFPA2KCCCD,Nikon coolpik a1000 with lead,1,£199.99,£130.00,£11.66,£188.33,£58.33,30.97%
Cameras & Photography,Digital Cameras,Olympus,,BBWGX9UT7FIBH,"Olympus E-420 10M + 14-42mm, B w/ 2 chargers",1,£79.99,£40.00,£6.66,£73.32,£33.32,45.45%
Cameras & Photography,Digital Cameras,Other,,BBWGFAEE8B0B3,Handyheroes HD Sports Camera,-1,-£19.99,-£15.00,-£0.83,-£19.16,-£4.16,21.71%
Cameras & Photography,Digital Cameras,Other,,BBWG133C86A4A,APACHE DASH CAM,-1,-£30.00,-£15.00,-£2.50,-£27.50,-£12.50,45.45%
Cameras & Photography,Digital Cameras,Other,,BBWG015992F7E,samsung s9 phone screenburn,-1,-£59.99,-£10.00,-£8.33,-£51.66,-£41.66,80.64%
Cameras & Photography,Digital Cameras,Other,,BBWG076B0A014,Manbily Camera  360° Panoramic Photography Ballhead,1,£19.99,£10.00,£1.66,£18.32,£8.32,45.43%
Cameras & Photography,Digital Cameras,Other,,BBWGAJXBEPL7Q,Pentax K-50 18-55mm 3.5-5.6 WR,-1,-£110.00,-£70.00,-£6.67,-£103.33,-£33.33,32.26%
Cameras & Photography,Digital Cameras,Other,,BBTXFQ3SLPZHU,Sony Cyber-shot DSC-WX350 18M Wifi + Chromecast,1,£149.99,£70.00,£13.33,£136.66,£66.66,48.78%
Cameras & Photography,Digital Cameras,Other,,BBTXA172AAF51,sealife dc1400 14mp,1,£84.99,£35.00,£8.33,£76.66,£41.66,54.34%
