Category Level 1,Category Level 2,Category Level 3,Barserial,Name,Quantity,Retail,Cost,VAT,Net,Total Margin,Margin %
Jewellery & Watches,Rings,Engagement Ring,BBTXF3CD6F46E,Engagement Ring 3.58g,1,£599.99,£250.00,£58.33,£541.66,£291.66,53.85%
Jewellery & Watches,Rings,Engagement Ring,BBTXX3USPNQFH,"warren james 2,38g Engagement Ring",1,£149.99,£70.00,£13.33,£136.66,£66.66,48.78%
Jewellery & Watches,Rings,Engagement Ring,BBTXHWGIQFYPI,3.84g ring,1,£149.99,£100.00,£8.33,£141.66,£41.66,29.41%
Jewellery & Watches,Rings,Engagement Ring,BBTXYVAPNHOOR,Engagement Ring 18ct 2.96,1,£599.99,£325.00,£45.83,£554.16,£229.16,41.35%
Jewellery & Watches,Rings,Engagement Ring,BBTXHIMYJXGNM,MOSANITE ENGAGEMENT RING10K ROSE GOLD,1,£159.99,£80.00,£13.33,£146.66,£66.66,45.45%
Jewellery & Watches,Rings,Engagement Ring,BBTXIOR7LZJIC,1.74G 9CT RING,1,£69.99,£25.00,£7.50,£62.49,£37.49,59.99%
Jewellery & Watches,Rings,Engagement Ring,BBTXPDCJCUGQU,3.22G 375 ENGRAVED RING,1,£129.99,£45.00,£14.16,£115.83,£70.83,61.15%
Jewellery & Watches,Rings,Engagement Ring,BBTXFRHSTMCJM,DRESS RING,1,£14.99,£5.00,£1.66,£13.33,£8.33,62.48%
Jewellery & Watches,Rings,Engagement Ring,BBTX2GIF5ZPWO,1.66g 375 ring,1,£69.99,£20.00,£8.33,£61.66,£41.66,67.56%
Jewellery & Watches,Rings,Engagement Ring,BBTXYFUZDAMGD,3.14 18ct ring,1,£249.99,£70.00,£30.00,£219.99,£149.99,68.18%
Jewellery & Watches,Rings,Engagement Ring,BBTXFWDO0897F,2.83g 375 white gold engagement ring,1,£249.99,£110.00,£23.33,£226.66,£116.66,51.47%
Jewellery & Watches,Rings,Engagement Ring,BBTXSYGXMUMHF,2.74g 9kt ring,1,£199.99,£40.00,£26.66,£173.33,£133.33,76.92%
